"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(6, 95)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 95)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 95)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 96)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 96)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 96)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 96)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 96)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 96)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 96)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 96)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 97)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 97)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 97)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 97)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 97)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 97)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 97)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 97)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 98)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 98)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 98)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 98)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 98)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 98)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 98)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 98)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 99)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 99)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 99)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 99)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 99)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 99)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 99)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 99)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 100)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 100)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 100)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 100)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 100)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 100)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 100)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 100)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 101)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 101)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 101)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 101)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 101)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 101)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 101)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 101)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
